archi,2g,3g,4g,5g,6g,mixg
100,0.989971495762348,0.9582749816687696,0.916824931794611,0.8689490424822137,0.8255519186687893,0.8968154749125548
32,0.9837735581083491,0.9368390022525944,0.883758529802287,0.8538777984027057,0.8277409318210344,0.8726388141141032
350-1000,0.9225133933584796,0.9148068449805458,0.8622019936451735,0.8038723485774305,0.7545588614158977,0.8264596496906801
